work_item_id,title,work_item_type,status,priority,estimated_hours,actuals_confidence,why,dependencies,approval_required,verification_evidence
BF-001,Activate the 90-day affiliate experiment and record owner constraints,Task,Done,P0,1.0,Known,"The experiment cannot be evaluated or safely automated unless dates, financial authority, identity rules, and prohibited actions are fixed.",None,yes,ventures/bidetfit/MISSION.md; ventures/bidetfit/DIARY.md
BF-002,"Audit available assets, hosting, repositories, accounts, and autonomy capabilities",Task,Done,P0,2.0,Known,Claims of autonomy must be based on deployed capabilities rather than chat assumptions.,BF-001,no,ventures/bidetfit/DIARY.md Day 1–2; ventures/bidetfit/DECISIONS.md D-001
BF-003,Research and score commercially viable affiliate niches,Task,Done,P0,4.0,Known,"The primary metric is verified commission, so niche choice must optimize buyer intent and achievable differentiation rather than personal preference.",BF-002,no,ventures/bidetfit/NICHE_SCORECARD.csv; ventures/bidetfit/DECISIONS.md D-003
BF-004,"Select BidetFit brand, niche, positioning, and initial business thesis",Decision,Done,P0,1.5,Known,A narrow purchase blocker supports original utility and commercially relevant content without pretending to test products.,BF-003,yes,ventures/bidetfit/DECISIONS.md D-003 and D-004
BF-005,"Define the MVP product, user journey, content architecture, and safety boundaries",Story,Done,P0,3.0,Known,A measurable compatibility workflow is more defensible than unsupported recommendations.,BF-004,no,ventures/bidetfit/CONTENT_MAP.csv; ventures/bidetfit/EDITORIAL_QUEUE.csv
BF-006,Build the 11-page BidetFit public beta and browser-based fit checker,Story,Done,P0,8.0,Known,A real utility improves application credibility and creates a testable customer journey.,BF-005,no,ventures/bidetfit/public; scripts/sync_bidetfit.py; deployment workflow evidence
BF-007,Deploy BidetFit to GitHub Pages and verify critical public routes,Release Gate,Done,P0,4.0,Known,A build is not launched until the deployed artifact and critical routes are independently verified.,BF-006,no,GitHub Actions runs and public URLs; ventures/bidetfit/DIARY.md
BF-008,"Build the unattended six-hour operator, durable state, incident handling, and kill switch",Story,Done,P0,7.0,Known,The business needs external state and scheduled verification before it can be described as operationally autonomous.,BF-007,no,.github/workflows/bidetfit-operator.yml; ventures/bidetfit/scripts/operator.py; RUNS.csv
BF-009,Fix Python standard-library shadowing in the unattended operator,Bug,Done,P0,2.0,Known,"A file named operator.py shadowed Python’s standard-library operator module, preventing the scheduled job from starting.",BF-008,no,GitHub Actions run 32868199605; DIARY.md
BF-010,Fix false-negative deployment incident cleanup,Bug,Done,P1,1.5,Known,Operational status must distinguish artifact failure from reporting-tool failure.,BF-007,no,GitHub Actions overlay run 32868820325; DIARY.md
BF-011,Research post-launch competitors and narrow BidetFit differentiation,Task,Done,P1,3.0,Known,A broad fit quiz or generic buying-guide site is insufficient if existing products already cover those surfaces.,BF-007,no,ventures/bidetfit/DECISIONS.md D-008; DIARY.md
BF-012,Adopt App Factory Operating Standard 1.1 and backfill canonical governance records,Task,Done,P0,8.0,Unknown / Needs Backfill,"Chat-only history is not durable enough for an autonomous project, and Done claims need task, decision, prompt, time, and evidence records.",BF-001–BF-011,yes,"GitHub PR #6 and merge 6f4ff67886167fa5defd7f7fc1dc162e6d5137af; Jira PCH-90 and PCH-103; Notion BidetFit project and BF-012 task; GitHub PR #7 and merge 4ca038e91779613bff86f9254ffa1ee1c52b50de; unattended operator run 32916545607; docs/TRACKER_LINKS.csv"
BF-013,"Configure Search Console, analytics ownership, and indexing baseline",Task,Open,P0,4.0,Unknown / Needs Backfill,"Without indexing and analytics coverage, the project cannot distinguish no demand from no discoverability or measurement failure.","BF-007, BF-012",yes,Future Search Console/analytics evidence
BF-014,Reverify affiliate program terms and prepare owner-ready application package,Task,Open,P0,6.0,Unknown / Needs Backfill,"Revenue cannot begin until exact current terms, owner eligibility, and merchant approval are known.","BF-007, BF-012",yes,ventures/bidetfit/AFFILIATE_PROGRAMS.csv and future application receipts
BF-015,Define and implement the exact toilet-model × bidet-model compatibility data schema,Story,Open,P0,8.0,Unknown / Needs Backfill,"The defensible product moat is precise evidence and preserved uncertainty, not broad unsourced recommendations.","BF-011, BF-012",no,"Future schema, fixtures, tests, and decision record"
BF-016,Publish toilet-model identification and printable measurement/photo tools,Story,Open,P1,7.0,Unknown / Needs Backfill,Many visitors cannot complete exact fit work until they find a model number and take consistent measurements/photos.,BF-015,no,"Future public URLs, tests, and content-map updates"
