page_id,url,target_audience,search_intent,query_cluster,unique_value,status,published_date,updated_date,traffic,affiliate_clicks,conversions,next_review_date
BF-001,https://priyanshchordia.com/bidetfit/,first-time bidet buyers,commercial investigation,bidet fit checker,"Interactive conservative compatibility assessment from measurements",live,2026-08-25,2026-08-25,0,0,0,2026-09-01
BF-002,https://priyanshchordia.com/bidetfit/fit-checker.html,owners unsure a bidet fits,commercial investigation,will a bidet fit my toilet,"Measurement-driven warnings for shape plumbing and power",live,2026-08-25,2026-08-25,0,0,0,2026-09-01
BF-003,https://priyanshchordia.com/bidetfit/how-to-measure.html,homeowners and renters,informational to commercial,how to measure toilet for bidet,"Single measurement sequence with interpretation ranges and uncertainty handling",live,2026-08-25,2026-08-25,0,0,0,2026-09-08
BF-004,https://priyanshchordia.com/bidetfit/french-curve-toilets.html,one-piece toilet owners,problem-aware commercial,French curve toilet bidet compatibility,"Explains geometry conflicts and safer verification steps without fake universal lists",live,2026-08-25,2026-08-25,0,0,0,2026-09-08
BF-005,https://priyanshchordia.com/bidetfit/skirted-toilets.html,skirted toilet owners,problem-aware commercial,skirted toilet bidet installation,"Separates seat fit from inaccessible plumbing and adapter location",live,2026-08-25,2026-08-25,0,0,0,2026-09-08
BF-006,https://priyanshchordia.com/bidetfit/round-vs-elongated.html,buyers unsure of bowl shape,commercial investigation,round vs elongated bidet seat,"Measurement interpretation with edge cases and model-spec priority",live,2026-08-25,2026-08-25,0,0,0,2026-09-08
BF-007,https://priyanshchordia.com/bidetfit/electric-vs-non-electric.html,feature-comparing buyers,commercial investigation,electric vs non electric bidet,"Decision framework weighted by fit power water temperature and installation",live,2026-08-25,2026-08-25,0,0,0,2026-09-08
BF-008,https://priyanshchordia.com/bidetfit/no-outlet-bidet-options.html,bathrooms without a receptacle,commercial investigation,bidet without electrical outlet,"Safe category alternatives without extension-cord shortcuts",live,2026-08-25,2026-08-25,0,0,0,2026-09-08
BF-009,https://priyanshchordia.com/bidetfit/compatibility/,buyers with exact toilet and bidet models,transactional investigation,toilet model bidet model compatibility,"Source-linked exact pairing records with confidence and unresolved requirements",planned,,,0,0,0,2026-09-01
BF-013,https://priyanshchordia.com/bidetfit/measurement-sheet.html,buyers preparing to compare models,download intent,bidet measurement worksheet,"Printable measurement and photo checklist that can be sent to merchant support",planned,,,0,0,0,2026-09-05
BF-014,https://priyanshchordia.com/bidetfit/find-toilet-model-number.html,owners who do not know their toilet model,informational to commercial,find toilet model number,"Model-identification workflow feeding exact compatibility records",planned,,,0,0,0,2026-09-02
